country_name,year,avg_maize_yield_tha,yoy_yield_change_t_ha,yoy_pct_change,productivity_status,global_median_t_ha
Afghanistan,1961,1.4e-05,,,Below Global Median,0.028054
Afghanistan,1962,1.4e-05,0.0,0.0,Below Global Median,0.028054
Afghanistan,1963,0.001426,0.001412,10085.7143,Below Global Median,0.028054
Afghanistan,1964,0.014257,0.012831,899.7896,Below Global Median,0.028054
Afghanistan,1965,14.399999,14.385742,100903.009,Above Global Median,0.028054
Afghanistan,1966,14.399999,0.0,0.0,Above Global Median,0.028054
Afghanistan,1967,0.014144,-14.385855,-99.9018,Below Global Median,0.028054
Afghanistan,1968,17.063999,17.049855,120544.7893,Above Global Median,0.028054
Afghanistan,1969,0.017177,-17.046822,-99.8993,Below Global Median,0.028054
Afghanistan,1970,0.014757,-0.00242,-14.0886,Below Global Median,0.028054
Afghanistan,1971,13.399999,13.385242,90704.3573,Above Global Median,0.028054
Afghanistan,1972,0.015652,-13.384347,-99.8832,Below Global Median,0.028054
Afghanistan,1973,0.001617,-0.014035,-89.6691,Below Global Median,0.028054
Afghanistan,1974,0.001617,0.0,0.0,Below Global Median,0.028054
Afghanistan,1975,16.115999,16.114382,996560.4205,Above Global Median,0.028054
Afghanistan,1976,16.597999,0.482,2.9908,Above Global Median,0.028054
Afghanistan,1977,0.015833,-16.582166,-99.9046,Below Global Median,0.028054
Afghanistan,1978,0.016183,0.00035,2.2106,Below Global Median,0.028054
Afghanistan,1979,16.101999,16.085816,99399.4686,Above Global Median,0.028054
Afghanistan,1980,16.710999,0.609,3.7821,Above Global Median,0.028054
Afghanistan,1981,16.689999,-0.021,-0.1257,Above Global Median,0.028054
Afghanistan,1982,0.016658,-16.673341,-99.9002,Below Global Median,0.028054
Afghanistan,1983,16.640999,16.624341,99797.9409,Above Global Median,0.028054
Afghanistan,1984,16.611999,-0.029,-0.1743,Above Global Median,0.028054
Afghanistan,1985,0.016652,-16.595347,-99.8998,Below Global Median,0.028054
Afghanistan,1986,0.016875,0.000223,1.3392,Below Global Median,0.028054
Afghanistan,1987,17.019999,17.003124,100759.2533,Above Global Median,0.028054
Afghanistan,1988,0.017034,-17.002965,-99.8999,Below Global Median,0.028054
Afghanistan,1989,16.962999,16.945965,99483.1807,Above Global Median,0.028054
Afghanistan,1990,17.581999,0.619,3.6491,Above Global Median,0.028054
Afghanistan,1991,0.000168,-17.581831,-99.999,Below Global Median,0.028054
Afghanistan,1992,1.5e-05,-0.000153,-91.0714,Below Global Median,0.028054
Afghanistan,1993,0.016786,0.016771,111806.6667,Below Global Median,0.028054
Afghanistan,1994,0.016667,-0.000119,-0.7089,Below Global Median,0.028054
Afghanistan,1995,0.016563,-0.000104,-0.624,Below Global Median,0.028054
Afghanistan,1996,0.016364,-0.000199,-1.2015,Below Global Median,0.028054
Afghanistan,1997,1.5e-05,-0.016349,-99.9083,Below Global Median,0.028054
Afghanistan,1998,0.000165,0.00015,1000.0,Below Global Median,0.028054
Afghanistan,1999,1.5e-05,-0.00015,-90.9091,Below Global Median,0.028054
Afghanistan,2000,11.978999,11.978984,79859893.3333,Above Global Median,0.028054
Afghanistan,2001,2e-06,-11.978997,-100.0,Below Global Median,0.028054
Afghanistan,2002,0.000298,0.000296,14800.0,Below Global Median,0.028054
Afghanistan,2003,8.4e-05,-0.000214,-71.8121,Below Global Median,0.028054
Afghanistan,2004,15.999999,15.999915,19047517.8571,Above Global Median,0.028054
Afghanistan,2005,0.012069,-15.98793,-99.9246,Below Global Median,0.028054
Afghanistan,2006,0.026204,0.014135,117.1182,Below Global Median,0.028054
Afghanistan,2007,26.276999,26.250795,100178.5796,Above Global Median,0.028054
Afghanistan,2008,26.276999,0.0,0.0,Above Global Median,0.028054
Afghanistan,2009,0.021429,-26.25557,-99.9184,Below Global Median,0.028054
Afghanistan,2010,0.016448,-0.004981,-23.2442,Below Global Median,0.028054
Afghanistan,2011,0.000164,-0.016284,-99.0029,Below Global Median,0.028054
Afghanistan,2012,0.021986,0.021822,13306.0976,Below Global Median,0.028054
Afghanistan,2013,0.021972,-1.4e-05,-0.0637,Below Global Median,0.028054
Afghanistan,2014,0.024882,0.00291,13.2441,Below Global Median,0.028054
Afghanistan,2015,0.021457,-0.003425,-13.765,Below Global Median,0.028054
Afghanistan,2016,20.516999,20.495542,95519.1406,Above Global Median,0.028054
Afghanistan,2017,0.012957,-20.504042,-99.9368,Below Global Median,0.028054
Afghanistan,2018,0.014727,0.00177,13.6606,Below Global Median,0.028054
Afghanistan,2019,19.456999,19.442272,132017.8719,Above Global Median,0.028054
Afghanistan,2020,0.019344,-19.437655,-99.9006,Below Global Median,0.028054
Afghanistan,2021,19.003999,18.984655,98142.3439,Above Global Median,0.028054
Afghanistan,2022,0.022374,-18.981625,-99.8823,Below Global Median,0.028054
Albania,1961,95.409995,,,Above Global Median,0.028054
Albania,1962,0.009079,-95.400916,-99.9905,Below Global Median,0.028054
Albania,1963,0.011924,0.002845,31.3361,Below Global Median,0.028054
Albania,1964,11.633999,11.622075,97467.9218,Above Global Median,0.028054
Albania,1965,0.010509,-11.62349,-99.9097,Below Global Median,0.028054
Albania,1966,0.015051,0.004542,43.2201,Below Global Median,0.028054
Albania,1967,0.017241,0.00219,14.5505,Below Global Median,0.028054
Albania,1968,18.781999,18.764758,108837.9908,Above Global Median,0.028054
Albania,1969,19.484999,0.703,3.7429,Above Global Median,0.028054
Albania,1970,0.020718,-19.464281,-99.8937,Below Global Median,0.028054
