country,code country,Year,Maize yield
United Kingdom,GBR,1275,0
United Kingdom,GBR,1305,0
United Kingdom,GBR,1355,0
United Kingdom,GBR,1405,0
United Kingdom,GBR,1455,0
United Kingdom,GBR,1555,0
United Kingdom,GBR,1605,0
United Kingdom,GBR,1655,0
United Kingdom,GBR,1705,0
United Kingdom,GBR,1755,0
United Kingdom,GBR,1805,0
United Kingdom,GBR,1850,0
United Kingdom,GBR,1855,0
United Kingdom,GBR,1865,0
United States,USA,1866,15.251.298
United States,USA,1867,15.502.349
United States,USA,1868,16.443.787
United States,USA,1869,13.682.234
United States,USA,1870,18.389.425
United States,USA,1871,17.071.413
United States,USA,1872,18.452.188
United States,USA,1873,14.372.622
United States,USA,1874,13.933.285
United States,USA,1875,17.385.225
United States,USA,1876,16.757.599
United States,USA,1877,16.192.735
United States,USA,1878,16.443.787
United States,USA,1879,17.699.038
United States,USA,1880,17.134.174
United States,USA,1881,12.426.983
United States,USA,1882,16.632.074
United States,USA,1883,15.188.535
United States,USA,1884,17.761.799
United States,USA,1885,17.950.088
United States,USA,1886,15.125.773
United Kingdom,GBR,1887,0
United States,USA,1887,13.744.997
United States,USA,1888,182.639
United States,USA,1889,1.851.495
United States,USA,1890,13.870.522
United States,USA,1891,18.577.713
United States,USA,1892,15.502.349
United States,USA,1893,14.937.485
United States,USA,1894,12.678.034
United States,USA,1895,17.573.512
United States,USA,1896,18.828.763
United States,USA,1897,15.941.685
United States,USA,1898,16.820.362
United States,USA,1899,17.573.512
United States,USA,1900,17.636.275
United States,USA,1901,11.422.783
United States,USA,1902,17.887.325
United States,USA,1903,16.883.124
United States,USA,1904,17.699.038
United States,USA,1905,19.393.625
United States,USA,1906,19.895.726
United States,USA,1907,17.071.413
United States,USA,1908,16.883.124
United States,USA,1909,16.381.024
United States,USA,1910,17.510.749
Austria,AUT,1911,
Belgium,BEL,1911,
Bulgaria,BGR,1911,
Denmark,DNK,1911,
France,FRA,1911,
Germany,DEU,1911,
Greece,GRC,1911,
Hungary,HUN,1911,
Italy,ITA,1911,
Netherlands,NLD,1911,
Norway,NOR,1911,
Romania,ROU,1911,
Russia,RUS,1911,
Spain,ESP,1911,
United Kingdom,GBR,1911,
United States,USA,1911,1.531.406
United Kingdom,GBR,1912,
United States,USA,1912,182.639
United States,USA,1913,14.247.098
United States,USA,1914,16.192.735
United States,USA,1915,17.636.275
United States,USA,1916,15.125.773
United States,USA,1917,16.443.787
United States,USA,1918,15.000.248
United States,USA,1919,16.820.362
United States,USA,1920,1.8766
United States,USA,1921,17.447.987
United States,USA,1922,16.506.548
United States,USA,1923,17.447.987
United States,USA,1924,13.870.522
United States,USA,1925,17.196.937
United States,USA,1926,16.129.974
United States,USA,1927,16.569.312
United States,USA,1928,16.506.548
United States,USA,1929,16.129.974
United States,USA,1930,12.866.322
United States,USA,1931,15.376.823
United Kingdom,GBR,1932,
United States,USA,1932,16.632.074
United States,USA,1933,14.309.859
Austria,AUT,1934,
Belgium,BEL,1934,
Bulgaria,BGR,1934,
Denmark,DNK,1934,
France,FRA,1934,
Germany,DEU,1934,
Greece,GRC,1934,
Hungary,HUN,1934,
Italy,ITA,1934,
Netherlands,NLD,1934,
Norway,NOR,1934,
Romania,ROU,1934,
Russia,RUS,1934,
Spain,ESP,1934,
United Kingdom,GBR,1934,
United States,USA,1934,11.736.596
United States,USA,1935,15.188.535
United States,USA,1936,11.673.833
United States,USA,1937,18.138.375
United States,USA,1938,17.447.987
United States,USA,1939,1.8766
United States,USA,1940,18.138.375
United States,USA,1941,19.581.914
United States,USA,1942,22.217.941
United States,USA,1943,2.046.059
United Kingdom,GBR,1944,
United States,USA,1944,2.071.164
United States,USA,1945,207.744
United States,USA,1946,23.347.666
United States,USA,1947,17.950.088
United States,USA,1948,26.987.894
United States,USA,1949,23.975.291
Austria,AUT,1950,
Belgium,BEL,1950,
Bulgaria,BGR,1950,
Denmark,DNK,1950,
France,FRA,1950,
Germany,DEU,1950,
Greece,GRC,1950,
Hungary,HUN,1950,
Italy,ITA,1950,
Netherlands,NLD,1950,
Norway,NOR,1950,
Romania,ROU,1950,
Russia,RUS,1950,
Spain,ESP,1950,
United Kingdom,GBR,1950,
United States,USA,1950,23.975.291
United States,USA,1951,2.315.938
United States,USA,1952,26.234.744
United States,USA,1953,25.544.355
United States,USA,1954,24.728.444
United States,USA,1955,26.360.269
United States,USA,1956,29.749.446
United States,USA,1957,30.314.307
United States,USA,1958,33.138.623
United States,USA,1959,3.332.691
United States,USA,1960,34.331.112
Afghanistan,AFG,1961,1.4
Africa,0,1961,10.450.405
Africa (FAO),0,1961,1.0444
Albania,ALB,1961,95.409.995
Algeria,DZA,1961,97.459.996
Americas (FAO),0,1961,2.6789
Angola,AGO,1961,8.113
Argentina,ARG,1961,1.7672
Asia,0,1961,1.136.885
Asia (FAO),0,1961,1.1369
Australia,AUS,1961,2.1213
Austria,AUT,1961,38.604.999
Bahamas,BHS,1961,6.667
Bangladesh,BGD,1961,7.988
Barbados,BRB,1961,1.8842
Belgium-Luxembourg (FAO),0,1961,4.5204
Belize,BLZ,1961,5.746
Benin,BEN,1961,5.846
Bhutan,BTN,1961,1.3994
Bolivia,BOL,1961,1.2501
Botswana,BWA,1961,4.477
Brazil,BRA,1961,1.3123
Brunei,BRN,1961,0
Bulgaria,BGR,1961,22.447.999
Burkina Faso,BFA,1961,5.018
Burundi,BDI,1961,9.596
Cambodia,KHM,1961,1.9789
Cameroon,CMR,1961,7.826
Canada,CAN,1961,4.5822
Cape Verde,CPV,1961,0.65
Caribbean (FAO),0,1961,10.383.999
Central African Republic,CAF,1961,5.333
Central America (FAO),0,1961,9.738
Chad,TCD,1961,1.0588
Chile,CHL,1961,1.9538
China,CHN,1961,11.841.999
Colombia,COL,1961,10.656.999
Comoros,COM,1961,10.454.999
Congo,COG,1961,0.75
Costa Rica,CRI,1961,1.0239
Cote d'Ivoire,CIV,1961,5.294
